Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_900044135.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum PH-1,80,5,9395062,2,37952304,2,1,21,5,15,9,5,16,1,0,0,0
GCA_012959185.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum TaB10,100,54,1672063,7,36759296,2,1,21,6,15,9,5,14,1,0,0,0
GCA_027945235.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium irregulare,Fusarium irregulare CF00137,41.2619,41,1635733,8,37934761,2,1,19,5,17,9,6,18,1,0,0,0
GCA_027945245.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium irregulare,Fusarium irregulare CF00143,32.5181,42,1635816,9,38172928,2,1,20,6,17,9,5,19,1,0,0,0
GCA_025433545.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium keratoplasticum,Fusarium keratoplasticum NA,51.71,25,4213465,5,49462855,1,1,38,9,22,11,3,20,1,0,0,0
GCA_019915245.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium musae,Fusarium musae F31,250,13,4357084,5,44015302,2,1,23,10,20,9,5,19,1,0,0,0
GCA_005930515.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum 160527,246,12,4884632,5,51139495,3,1,34,9,27,13,5,28,1,0,0,0
GCA_023509805.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum 9,93.9,114,2949549,9,65559131,1,1,35,7,24,18,4,30,1,0,0,0
GCA_049000225.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum BRF1,400,52,4856172,6,59768061,3,2,36,8,23,12,5,16,1,0,0,0
GCA_013085055.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum Fo47,341,12,4523040,5,50358849,2,2,37,7,29,13,6,20,1,0,0,0
GCA_003615085.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum FoC_Fus2,214,34,4140032,6,53425788,2,1,41,8,28,13,6,24,1,0,0,0
GCA_001702695.2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum Forc016,72,32,4490135,5,52860752,2,1,36,8,24,12,7,29,1,0,0,0
GCA_031834405.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum II5,111,53,4484645,5,49423592,2,1,26,7,24,12,5,16,1,0,0,0
GCA_020744355.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum MPI-CAGE-CH-0212,186.1,66,4810307,5,55719217,2,2,33,8,27,14,4,20,1,0,0,0
GCA_020744455.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum MPI-SDFR-AT-0094,68.91,128,1619373,11,52242347,3,2,34,7,24,15,6,26,1,0,0,0
GCA_030719095.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum NA,92,13,4885915,5,49876382,2,1,31,8,23,12,4,22,1,0,0,0
GCA_049000195.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum SG1,400,56,4291610,6,54539683,2,2,27,7,22,8,4,15,1,0,0,0
GCA_007994515.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum TR4,180,15,4494293,5,48588396,2,1,26,8,23,12,5,17,1,0,0,0
GCA_019157295.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum Tf1208,96,25,4227812,6,59760091,2,2,24,9,22,11,5,27,1,0,0,0
GCA_019157275.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum Tf1262,41,59,2955369,8,66822448,2,1,39,8,20,10,3,33,1,0,0,0
GCA_900096695.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum V64-1,46,49,5177094,4,48788312,2,1,33,8,28,15,4,22,1,0,0,0
GCA_050370095.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium phalaenopsidis,Fusarium phalaenopsidis FUZ10S,155,54,3659495,6,52236286,2,1,36,9,18,9,3,20,1,0,0,0
GCA_019609905.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium poae,Fusarium poae DAOMC 252244,161,12,9989830,2,43859651,2,1,15,6,15,8,5,19,1,0,0,0
GCA_046056315.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium poae,Fusarium poae Fp133,206,6,8641347,3,44910645,2,1,14,6,15,9,5,20,1,0,0,0
GCA_900067095.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium proliferatum,Fusarium proliferatum ET1,100,32,3311891,5,44903268,2,1,27,9,25,12,6,16,1,0,0,0
GCA_003290285.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium proliferatum,Fusarium proliferatum ITEM 2341,111,104,1822579,9,45487716,2,1,25,9,23,12,6,16,1,0,0,0
GCA_017309895.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium proliferatum,Fusarium proliferatum MPVP 328,112,12,4345412,5,43841293,2,1,24,9,21,10,6,12,1,0,0,0
GCA_900029915.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium proliferatum,Fusarium proliferatum NRRL62905,98,155,874474,16,43164568,2,1,24,9,20,9,6,16,1,0,0,0
GCA_017309875.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium proliferatum,Fusarium proliferatum R16,117,154,2386667,8,45282541,2,1,25,9,21,10,6,16,1,0,0,0
GCA_016952305.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum Class2-1C,519,4,9153420,2,37805715,2,1,19,6,12,8,4,12,1,0,0,0
GCA_024752415.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum Fp22-2,332,4,9006544,2,37331286,2,1,18,6,13,8,4,14,0,0,0,0
GCA_020744475.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium redolens,Fusarium redolens MPI-CAGE-AT-0023,105.67,74,1971302,9,52563400,2,2,33,9,23,11,4,24,1,0,0,0
GCA_041870755.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sambucinum,Fusarium sambucinum NA,89,4,9530391,2,38374918,2,1,24,7,18,12,5,16,1,0,0,0
GCA_020744495.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium solani,Fusarium solani FSSC 5 MPI-SDFR-AT-0091,96.89,74,2221287,9,52932111,1,1,37,10,20,10,4,22,1,0,0,0
GCA_023522795.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium solani,Fusarium solani SB1,225,19,4026673,6,59379714,1,1,37,11,23,10,5,30,1,0,0,0
GCA_023101225.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium solani-melongenae,Fusarium solani-melongenae CRI 24-3,123.25,12,4496268,5,49477711,1,1,37,9,27,11,4,17,1,0,0,0
GCA_020744335.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp.,Fusarium sp. MPI-SDFR-AT-0072,181.01,19,4717126,5,48370669,2,2,28,9,23,11,4,22,1,0,0,0
GCA_954870535.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp.,Fusarium sp. NA,145,19,4299556,5,42058709,2,1,27,8,19,10,5,21,1,0,0,0
GCA_027945595.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium torreyae,Fusarium torreyae CF00136,42.525,92,1014291,13,46516240,2,1,32,8,20,10,5,16,1,0,0,0
GCA_020744515.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium tricinctum,Fusarium tricinctum MPI-SDFR-AT-0068,256.94,21,5209653,4,43693088,2,1,27,8,18,12,5,25,1,0,0,0
GCA_900007375.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium venenatum,Fusarium venenatum A3/5,100,5,9140027,2,38580753,2,1,23,7,16,12,5,20,1,0,0,0
GCA_020744135.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium venenatum,Fusarium venenatum MPI-CAGE-CH-0201,317.79,9,9116532,2,37452605,2,1,23,7,17,12,5,21,1,0,0,0
GCA_003317015.2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides BRIP53263,110,153,4129395,5,42321040,1,0,0,0,0,1,0,4,0,0,0,0
GCA_022578845.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon cercidicola,Hypoxylon cercidicola CBS 119009,148.116,60,1300530,9,36614325,1,2,15,5,15,8,4,15,2,0,0,0
GCA_022578875.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon crocopeplum,Hypoxylon crocopeplum CBS 119004,139.155,180,758131,17,40729601,1,1,19,7,22,13,4,16,2,0,0,0
GCA_022984875.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon fragiforme,Hypoxylon fragiforme CBS 206.31,711.02,15,3869588,5,36400909,1,1,13,6,11,7,4,8,2,0,0,0
GCA_022578575.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp.,Hypoxylon sp. FL0543,124.89,62,1362539,8,38120493,1,1,14,7,15,10,4,9,2,0,0,0
GCA_022497025.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp.,Hypoxylon sp. FL0890,145.55,83,834990,16,40408409,1,1,16,7,14,12,4,10,2,0,0,0
GCA_022578955.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp.,Hypoxylon sp. FL1857,135.392,146,682580,22,43392726,1,1,18,7,16,10,5,11,2,0,0,0
GCA_022432515.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp.,Hypoxylon sp. NC0597,319.09,97,662971,17,35918646,1,1,17,7,16,14,4,9,2,0,0,0
GCA_022984935.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp.,Hypoxylon sp. NC1633,521.35,139,662074,18,40120527,1,1,13,6,13,9,4,9,2,0,0,0
GCA_022578975.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon trugodes,Hypoxylon trugodes CBS 135444,135.878,74,3593318,5,39350287,1,1,16,6,16,12,5,11,2,0,0,0
GCA_000512585.3,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella bestiolae,Kwoniella bestiolae CBS 10118,86,8,4033336,2,24551665,4,5,6,5,2,0,0,6,0,0,0,0
GCA_036426115.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella botswanensis,Kwoniella botswanensis CBS 12716,147,3,18234046,1,23007246,4,5,5,4,2,0,0,4,0,0,0,0
GCA_000512565.3,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella dejecticola,Kwoniella dejecticola CBS 10117,149,11,2115541,5,23932770,3,5,8,4,3,0,0,6,0,0,0,0
GCA_036810415.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella dendrophila,Kwoniella dendrophila CBS 6074,476,11,1989622,5,23026020,4,5,5,4,2,0,0,6,0,0,0,0
GCA_036810445.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella europaea,Kwoniella europaea PYCC6329,70,3,16668455,1,22833461,3,5,5,4,2,0,0,6,0,0,0,0
GCA_000507405.3,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella heveanensis,Kwoniella heveanensis BCC8398,30,67,709378,13,25434930,3,5,7,4,3,1,1,4,0,0,0,0
GCA_000507885.2,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangroviensis,Kwoniella mangroviensis CBS 10435,68,37,1966685,4,22604858,4,5,7,3,2,0,0,6,0,0,0,0
GCA_000507465.4,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangroviensis,Kwoniella mangroviensis CBS 8507,150,4,13534336,1,22796923,4,5,7,4,2,0,0,6,0,0,0,0
GCA_000507485.3,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangroviensis,Kwoniella mangroviensis CBS 8886,102,41,2035775,5,22692505,4,5,6,3,2,0,0,6,0,0,0,0
GCA_039105145.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella newhampshirensis,Kwoniella newhampshirensis CBS 13917,222,17,1529259,6,20459564,2,5,4,3,2,0,1,4,0,0,0,0
GCA_000512605.3,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella pini,Kwoniella pini CBS 10737,302,11,1859852,5,20887338,3,5,4,4,2,0,0,5,0,0,0,0
GCA_008629635.2,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella shandongensis,Kwoniella shandongensis CBS 12478,157,14,1599119,6,21305292,2,5,6,3,2,0,1,4,0,0,0,0
GCA_035658355.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella shivajii,Kwoniella shivajii NA,180,12,2021889,5,22171496,3,5,4,4,2,1,0,5,0,0,0,0
GCA_036810365.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp.,Kwoniella sp. B9013,126,3,18217905,1,23028338,4,5,5,4,3,0,0,5,0,0,0,0
GCA_036287355.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp.,Kwoniella sp. CBS 6097,60,5,13655223,1,26078312,3,5,6,4,3,1,1,4,0,0,0,0
GCA_036428585.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp.,Kwoniella sp. CBS 9459,50,6,13071904,1,25236468,3,5,4,4,2,1,1,4,0,0,0,0
GCA_036428645.1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp.,Kwoniella sp. DSM 27419,88,18,1531090,5,18083568,2,4,4,2,2,0,1,4,0,0,0,0
GCA_038497795.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces arxii,Lipomyces arxii Phaff 12-163,533.48,85,554856,6,11914779,1,0,3,4,3,0,0,2,0,0,0,0
GCA_038497645.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces chichibuensis,Lipomyces chichibuensis CBS 12929,380.22,169,292209,17,16366228,1,0,1,3,2,0,0,3,0,0,0,0
GCA_038497905.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces japonicus,Lipomyces japonicus CBS 7319,487.73,172,245202,20,13368889,1,0,2,3,1,3,0,1,0,0,0,0
GCA_038497805.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces mesembrius,Lipomyces mesembrius CBS 7600,381.9,125,428002,11,16871724,1,1,0,3,1,0,0,4,0,0,0,0
GCA_038497815.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces oligophaga,Lipomyces oligophaga CBS 7107,447.57,28,1558445,4,13579087,1,1,1,2,1,0,0,2,0,0,0,0
GCA_001661325.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces starkeyi,Lipomyces starkeyi NRRL Y-11557,48,117,1341299,7,20680201,1,2,6,4,4,0,0,3,0,0,0,0
GCA_029532465.1,Fungi,Ascomycota,Lipomycetes,Lipomycetales,Lipomycetaceae,Lipomyces,Lipomyces tetrasporus,Lipomyces tetrasporus NRRL Y-64009,267.54,18,1740353,5,20779202,1,1,3,4,5,0,0,3,0,0,0,0
GCA_029542905.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia arunalokei,Malassezia arunalokei CBS 13387,173,9,1224706,3,7331251,0,0,0,0,0,0,0,1,0,0,0,0
GCA_029542985.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia brasiliensis,Malassezia brasiliensis CBS 14135,200,7,1798441,2,8000312,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542885.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia caprae,Malassezia caprae CBS 10434,157,8,1349452,3,7728824,0,0,1,0,0,0,0,1,1,0,0,0
GCA_029542805.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia cuniculi,Malassezia cuniculi CBS 11721,100,6,1493642,3,7453460,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542865.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia equina,Malassezia equina CBS 12830,100,8,1363896,3,7775479,0,0,0,0,0,0,0,1,0,0,0,0
GCA_023510035.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,Malassezia furfur CBS 14141,100,9,1642932,2,8241990,0,0,1,0,0,0,0,1,0,0,0,0
GCA_023510055.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,Malassezia furfur CBS 9595,100,8,1622862,2,8107776,0,0,1,0,0,0,0,1,0,0,0,0
GCA_009938135.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,Malassezia furfur NA,72,7,1862503,2,8268083,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542785.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia japonica,Malassezia japonica CBS 9431,120,9,1024655,3,8433779,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542845.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia nana,Malassezia nana CBS 9557,200,8,1328904,3,7702145,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542945.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia obtusa,Malassezia obtusa CBS 7876,200,9,1643954,2,8169464,0,0,1,0,0,0,0,1,0,0,0,0
GCA_047368035.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia pachydermatis,Malassezia pachydermatis ATCC 14522 (CBS 1879),671,6,1455848,3,8403632,0,0,1,0,0,0,0,1,0,0,0,0
GCA_001278385.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia pachydermatis,Malassezia pachydermatis CBS 1879,250,91,1303022,3,8149729,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542765.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia psittaci,Malassezia psittaci CBS 14136,200,8,1454392,2,8186253,0,0,0,0,0,0,0,1,0,0,0,0
GCA_003691605.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,Malassezia restricta CBS 7877,165,9,1221154,3,7262887,0,0,0,0,0,0,0,1,0,0,0,0
GCA_003290485.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,Malassezia restricta KCTC 27527,38.8,9,1222814,3,7330907,0,0,0,0,0,0,0,1,0,0,0,0
GCA_029542825.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp.,Malassezia sp. CBS 17886,156,9,1153835,3,9312381,0,0,1,0,0,0,0,1,0,0,0,0
GCA_900149145.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sympodialis,Malassezia sympodialis ATCC 42132,100,8,1353702,3,7747459,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542925.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia vespertilionis,Malassezia vespertilionis CBS 15041,76,9,844328,4,7595203,0,0,1,0,0,0,0,1,0,0,0,0
GCA_002818225.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia vespertilionis,Malassezia vespertilionis NWHC:44797-103,575,14,844276,4,7581587,0,0,1,0,0,0,0,1,0,0,0,0
GCA_029542965.1,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia yamatoensis,Malassezia yamatoensis CBS 9725,200,8,1449273,2,8264016,0,0,0,0,0,0,0,1,0,0,0,0
GCA_019434415.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium acridum,Metarhizium acridum ARSEF 324,184,35,2337527,6,44714658,1,0,7,3,5,0,5,13,1,0,0,0
GCA_013305495.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,Metarhizium anisopliae JEF-290,237,18,6254943,3,42848098,1,0,6,4,8,0,5,11,0,0,0,0
GCA_039654215.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,Metarhizium anisopliae NA,330.7,28,4185747,5,39548408,1,0,6,4,7,0,5,11,1,0,0,0
GCA_013426205.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium brunneum,Metarhizium brunneum 4556,100,7,4766907,3,37771916,1,1,5,4,7,0,5,11,1,0,0,0
GCA_000814965.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium brunneum,Metarhizium brunneum ARSEF 3297,80.13,92,1825569,6,36967988,1,1,5,4,7,0,5,10,1,0,0,0
GCA_039795395.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium brunneum,Metarhizium brunneum V275,80,29,4322898,3,40080245,1,1,6,4,7,0,5,13,1,0,0,0
GCA_000814975.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium hybridum,Metarhizium hybridum ARSEF 549,98.34,74,2048875,6,38325361,1,1,6,4,7,0,5,14,1,0,0,0
GCA_000187425.2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium robertsii,Metarhizium robertsii ARSEF 23,147.33,90,4491770,4,38960102,1,1,5,4,7,0,5,16,1,0,0,0
GCA_000738915.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida ausubeli,Nematocida ausubeli ERTm6,118,24,797226,3,4228442,0,0,0,0,0,0,0,0,0,0,0,0
GCA_001642395.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida displodere,Nematocida displodere JUm2807,2500,42,440850,3,3057189,0,0,0,0,0,0,0,0,0,0,0,0
GCA_021653875.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida major,Nematocida major JUm2507,99.3657,111,195657,7,3786700,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000250985.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida parisii,Nematocida parisii ERTm1,45,65,649559,3,4029057,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000190615.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida parisii,Nematocida parisii ERTm3,60,53,567515,3,4121387,0,0,0,0,0,0,0,0,0,0,0,0
GCA_024244115.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida sp.,Nematocida sp. AWRm77,3073.99,84,106150,13,3360487,0,0,0,0,0,0,0,0,0,0,0,0
GCA_024244045.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida sp.,Nematocida sp. AWRm80,1705.28,45,301462,5,3169597,0,0,0,0,0,0,0,0,0,0,0,0
GCA_024244035.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida sp.,Nematocida sp. LUAm1,75.9803,53,186570,6,3080653,0,0,0,0,0,0,0,0,0,0,0,0
GCA_024244025.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida sp.,Nematocida sp. LUAm2,1825.85,42,193215,6,3061782,0,0,0,0,0,0,0,0,0,0,0,0
GCA_024243985.1,Fungi,Microsporidia,NA,NA,NA,Nematocida,Nematocida sp.,Nematocida sp. LUAm3,2201.04,38,189581,6,3091668,0,0,0,0,0,0,0,0,0,0,0,0
GCA_033458375.1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa,Neurospora crassa FGSC 4830,50.68,93,2335974,6,37056930,1,3,9,4,6,7,3,8,0,0,0,0
